"HAUL_NUMBER";"GENUS";"SPECIES";"WEIGHT_OF_THE_SAMPLE_MEASURED";"ESTIMATED_WEIGHT";"perc_diff"
80;"LOLI";"VUL";260;313.666897752896;-17.1095190909097
134;"OCTO";"VUL";260;303.617923253876;-14.366056781636
144;"PAGE";"BOG";265;235.338343294453;12.603835095599
138;"TRAC";"TRA";265;272.818642963827;-2.8658756157156
121;"OCTO";"VUL";265;156.330586588412;69.5125731842182
101;"BOOP";"BOO";270;350.828001000795;-23.039210316799
93;"PAPE";"LON";270;221.861301862657;21.6976542250453
139;"TRAC";"TRA";270;329.099508802388;-17.9579450049788
117;"BOOP";"BOO";275;247.687483119333;11.027007314499
143;"HELI";"DAC";275;219.2093025855;25.4508803944304
151;"HELI";"DAC";275;260.530008512928;5.55405942281477
77;"PAPE";"LON";275;256.595546192701;7.17255388114842
129;"MERL";"MER";275;239.750246538027;14.7026974824745
77;"HELI";"DAC";280;252.02306058155;11.1009442365681
156;"SPIC";"FLE";280;312.693439852675;-10.4554287637369
161;"SPIC";"SMA";280;289.419650210456;-3.25466850768633
125;"LOLI";"VUL";280;327.479204128988;-14.4983875404457
133;"ILLE";"COI";285;348.303483227055;-18.1748062467088
132;"SPIC";"SMA";290;261.639546751997;10.8395132158232
100;"OCTO";"VUL";290;272.640797952184;6.36705958103165
77;"MICM";"POU";295;253.442239687515;16.3973299650937
126;"TRIS";"CAP";300;250.465687234267;19.7768857334146
161;"TRIS";"CAP";300;308.064763707684;-2.61787930908455
131;"TRAC";"MED";300;301.558857275819;-0.51693300933079
112;"TRAC";"TRA";300;314.908509763407;-4.73423527824248
161;"TRAC";"TRA";300;354.824297235116;-15.4511113422394
100;"LOLI";"VUL";300;276.028333402914;8.68449492179302
135;"TRAC";"MED";305;305.338547129074;-0.110875987410577
161;"ILLE";"COI";310;308.416941470972;0.513285204592625
104;"OCTO";"VUL";310;296.826579043443;4.43808671009508
137;"TRIS";"CAP";315;250.881744444567;25.5571626773348
93;"ILLE";"COI";315;357.997020074414;-12.0104407755899
133;"ASPI";"CUC";315;305.85149627993;2.99115872616075
78;"LOPH";"BUD";320;289.162757394274;10.6643202892409
129;"LOLI";"VUL";320;454.02169543313;-29.5187866089252
76;"TRAC";"MED";325;336.298294183679;-3.35960496353514
76;"ELED";"MOS";330;410.985929192964;-19.7052802639722
80;"OCTO";"VUL";330;288.821587419605;14.2573873886268
162;"ELED";"CIR";335;261.435658791904;28.1386026481762
126;"LOPH";"BUD";340;318.38487635913;6.78899195465822
83;"PAPE";"LON";340;306.080343574985;11.0819453574956
