TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;CODEND_CLOSING;PART_OF_THE_CODEND;FAUNISTIC_CATEGORY;GENUS;SPECIES;LENGTH_CLASSES_CODE;WEIGHT_OF_THE_FRACTION;WEIGHT_OF_THE_SAMPLE_MEASURED;SEX;NO_OF_INDIVIDUAL_OF_THE_ABOVE_SEX_MEASURED;LENGTH_CLASS;MATURITY;MATSUB;NUMBER_OF_INDIVIDUALS_IN_THE_LENGTH_CLASS_AND_MATURITY_STAGE
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;F;15;145;1;;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;M;11;145;2;A;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;N;4;145;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;F;15;150;1;;4
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;M;11;150;1;;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;N;4;150;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;F;15;155;1;;2
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;M;11;155;1;;2
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;N;4;155;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;M;11;160;1;;2
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;M;11;175;2;A;3
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;F;15;180;1;;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;F;15;185;1;;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;F;15;195;1;;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;F;15;245;1;;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;F;15;390;2;B;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;F;15;415;2;C;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;ENGR;ENC;0;49920;3120;N;523;65;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;ENGR;ENC;0;49920;3120;N;523;70;ND;ND;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;ENGR;ENC;0;49920;3120;N;523;75;ND;ND;11
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;ENGR;ENC;0;49920;3120;N;523;80;ND;ND;24
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;ENGR;ENC;0;49920;3120;N;523;85;ND;ND;66
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;ENGR;ENC;0;49920;3120;N;523;90;ND;ND;92
