TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;CODEND_CLOSING;PART_OF_THE_CODEND;FAUNISTIC_CATEGORY;GENUS;SPECIES;NAME_OF_THE_REFERENCE_LIST;TOTAL_WEIGHT_IN_THE_HAUL;TOTAL_NUMBER_IN_THE_HAUL;NB_OF_FEMALES;NB_OF_MALES;NB_OF_UNDETERMINED
TB;ITA;18;MIZ;2021;8;17;105;S;S;Ao;SARD;PIL;FM;2080;191;0;0;191
TB;ITA;18;MIZ;2021;8;17;105;S;S;Ao;SCOM;PNE;FM;380;32;0;0;32
TB;ITA;18;MIZ;2021;8;17;105;S;S;Ao;SERA;HEP;FM;10;3;0;0;3
TB;ITA;18;MIZ;2021;8;17;105;S;S;Ao;SPIC;FLE;FM;25;3;0;0;3
TB;ITA;18;MIZ;2021;8;17;105;S;S;Ao;SPRA;SPR;FM;40;11;0;0;11
TB;ITA;18;MIZ;2021;8;17;105;S;S;Ao;TRAC;MED;FM;10;2;0;0;2
TB;ITA;18;MIZ;2021;8;17;105;S;S;Ao;TRAC;TRA;FM;10;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;105;S;S;Ao;TRIS;CAP;FM;10;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;100;S;S;C;ALLO;SUB;FM;220;39;0;0;39
TB;ITA;18;MIZ;2021;8;17;100;S;S;Ao;DIPL;ANN;FM;50;2;0;0;2
TB;ITA;18;MIZ;2021;8;17;100;S;S;B;DORI;LAN;FM;30;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;100;S;S;Ao;ENGR;ENC;FM;14320;3208;0;0;3208
TB;ITA;18;MIZ;2021;8;17;100;S;S;C;ILLE;COI;FM;45;6;0;0;6
TB;ITA;18;MIZ;2021;8;17;100;S;S;C;LOLI;VUL;FM;1100;102;4;1;97
TB;ITA;18;MIZ;2021;8;17;100;S;S;B;MCPI;DEP;FM;290;20;0;0;20
TB;ITA;18;MIZ;2021;8;17;100;S;S;Ao;MERL;MER;FM;680;38;10;6;22
TB;ITA;18;MIZ;2021;8;17;100;S;S;Ao;MULL;BAR;FM;40;5;0;2;3
TB;ITA;18;MIZ;2021;8;17;100;S;S;C;OCTO;VUL;FM;995;7;4;3;0
TB;ITA;18;MIZ;2021;8;17;100;S;S;Ao;PAGE;ERY;FM;45;3;0;0;3
TB;ITA;18;MIZ;2021;8;17;100;S;S;Ao;SARD;PIL;FM;4400;361;0;0;361
TB;ITA;18;MIZ;2021;8;17;100;S;S;Ao;SCOM;PNE;FM;1000;85;0;0;85
TB;ITA;18;MIZ;2021;8;17;100;S;S;Ao;SCOM;SCO;FM;400;4;0;0;4
TB;ITA;18;MIZ;2021;8;17;100;S;S;Ao;SPIC;FLE;FM;80;10;0;0;10
TB;ITA;18;MIZ;2021;8;17;100;S;S;Ao;SPRA;SPR;FM;650;12;0;0;12
TB;ITA;18;MIZ;2021;8;17;100;S;S;Bst;SQUI;MAN;FM;35;2;1;1;0
TB;ITA;18;MIZ;2021;8;17;100;S;S;Ao;TRAC;MED;FM;155;32;0;0;32
TB;ITA;18;MIZ;2021;8;17;100;S;S;Ao;TRAC;TRA;FM;20;2;0;0;2
TB;ITA;18;MIZ;2021;8;17;100;S;S;Ao;TRIG;LUC;FM;110;1;0;1;0
TB;ITA;18;MIZ;2021;8;18;117;S;S;C;ALLO;SPP;FM;20;13;0;0;13
TB;ITA;18;MIZ;2021;8;18;117;S;S;C;ALLO;SUB;FM;340;54;0;0;54
TB;ITA;18;MIZ;2021;8;18;117;S;S;Ao;APHI;MIN;FM;6;6;0;0;6
TB;ITA;18;MIZ;2021;8;18;117;S;S;Ao;ARNO;LAT;FM;3;1;0;0;1
TB;ITA;18;MIZ;2021;8;18;117;S;S;Eec;ASTR;IRR;FM;20;3;0;0;3
TB;ITA;18;MIZ;2021;8;18;117;S;S;Ao;BOOP;BOO;FM;140;9;0;0;9
TB;ITA;18;MIZ;2021;8;18;117;S;S;Ao;ENGR;ENC;FM;9000;5240;0;0;5240
TB;ITA;18;MIZ;2021;8;18;117;S;S;Ao;GOBI;NIG;FM;10;1;0;0;1
TB;ITA;18;MIZ;2021;8;18;117;S;S;G;LOLI;EGG;FM;30;0;0;0;0
TB;ITA;18;MIZ;2021;8;18;117;S;S;C;LOLI;VUL;FM;225;41;0;0;41
TB;ITA;18;MIZ;2021;8;18;117;S;S;B;MCPI;DEP;FM;90;12;0;0;12
TB;ITA;18;MIZ;2021;8;18;117;S;S;Ao;MERL;MER;FM;690;32;10;5;17
TB;ITA;18;MIZ;2021;8;18;117;S;S;Ao;MULL;BAR;FM;620;100;1;12;87
TB;ITA;18;MIZ;2021;8;18;117;S;S;Dmb;MYTI;GAL;FM;75;3;0;0;3
TB;ITA;18;MIZ;2021;8;18;117;S;S;C;OCTO;VUL;FM;40;1;0;1;0
TB;ITA;18;MIZ;2021;8;18;117;S;S;Ao;PAGE;ACA;FM;15;2;0;0;2
