"Survey";"Year";"Haul";"Month";"Stratum";"SweptSurface";"Lat";"Long";"Depth"
"MEDITS-GSA18";1998;131;6;2;0.045;41.49183;16.54258;76
"MEDITS-GSA18";1998;132;6;3;0.046;41.91917;16.61517;118.5
"MEDITS-GSA18";1998;133;6;3;0.046;41.89508;16.66008;129.5
"MEDITS-GSA18";1998;134;6;3;0.046;41.85192;16.67858;118
"MEDITS-GSA18";1998;135;6;3;0.046;41.55125;16.84133;123
"MEDITS-GSA18";1998;136;6;3;0.046;41.315;16.93183;112
"MEDITS-GSA18";1998;137;6;3;0.046;41.55033;16.80592;114
"MEDITS-GSA18";1998;138;6;3;0.046;41.26217;16.93392;112.5
"MEDITS-GSA18";1998;139;6;4;0.095;41.91392;16.83308;228.5
"MEDITS-GSA18";1998;140;6;4;0.068;41.88142;16.85158;233.5
"MEDITS-GSA18";1998;141;6;4;0.074;41.84008;16.86983;223.5
"MEDITS-GSA18";1998;142;6;4;0.097;41.56317;17.07225;413.5
"MEDITS-GSA18";1998;143;6;5;0.09;42.0275;16.99758;537
"MEDITS-GSA18";1998;144;6;5;0.093;42.07792;16.99383;508
"MEDITS-GSA18";1998;145;6;5;0.07;41.62008;17.12867;535
"MEDITS-GSA18";1998;146;6;5;0.078;41.61475;17.12842;536.5
"MEDITS-GSA18";1999;75;8;2;0.044;40.27967;18.49983;93
"MEDITS-GSA18";1999;76;8;2;0.044;40.332;18.43625;90
"MEDITS-GSA18";1999;77;8;4;0.075;40.39608;18.61992;386.5
"MEDITS-GSA18";1999;78;8;5;0.09;40.47825;18.63717;563
"MEDITS-GSA18";1999;79;8;3;0.043;40.40442;18.55608;120
