AREA;SPECIES;SEX;a;b
18;PENA KER;M;0.0030;2.5177
18;PENA KER;N;0.0038;2.5000
18;PHYI BLE;F;0.0053;3.1038
18;PHYI BLE;I;0.0031;3.2751
18;PHYI BLE;M;0.0037;3.2277
18;PHYI BLE;N;0.0031;3.2751
18;RAJA AST;F;0.0033;3.1329
18;RAJA AST;I;0.0033;3.1329
18;RAJA AST;M;0.0033;3.1329
18;RAJA AST;N;0.0033;3.1329
18;RAJA CIR;F;0.0014;3.2735
18;RAJA CIR;I;0.0014;3.2735
18;RAJA CIR;M;0.0014;3.2735
18;RAJA CIR;N;0.0014;3.2735
18;RAJA CLA;F;0.0010;3.4063
18;RAJA CLA;I;0.0010;3.4063
18;RAJA CLA;M;0.0010;3.4063
18;RAJA CLA;N;0.0010;3.4063
18;RAJA MIR;F;0.0013;3.3370
18;RAJA MIR;I;0.0013;3.3370
18;RAJA MIR;M;0.0013;3.3370
18;RAJA MIR;N;0.0013;3.3370
18;SARD PIL;F;0.0050;3.1787
18;SARD PIL;I;0.0050;3.1787
18;SARD PIL;M;0.0050;3.1787
18;SARD PIL;N;0.0050;3.1787
18;SCOM PNE;F;0.0049;3.1495
18;SCOM PNE;I;0.0049;3.1520
18;SCOM PNE;M;0.0048;3.1602
18;SCOM PNE;N;0.0049;3.1520
18;SCOM SCO;F;0.0028;3.3253
18;SCOM SCO;I;0.0057;3.0968
18;SCOM SCO;M;0.0089;2.9576
18;SCOM SCO;N;0.0057;3.0968
18;SCYM LIC;F;0.0029;3.0617
18;SCYM LIC;I;0.0029;3.0617
18;SCYM LIC;M;0.0029;3.0617
18;SCYM LIC;N;0.0029;3.0617
18;SCYO CAN;F;0.0016;3.1713
18;SCYO CAN;I;0.0017;3.1567
18;SCYO CAN;M;0.0018;3.1406
18;SCYO CAN;N;0.0017;3.1567
18;SEPI OFF;F;0.2669;2.7235
18;SEPI OFF;I;0.2799;2.6913
18;SEPI OFF;M;0.2906;2.6645
18;SEPI OFF;N;0.2799;2.6913
18;SOLE VUL;F;0.0054;3.1468
18;SOLE VUL;I;0.0054;3.1468
18;SOLE VUL;M;0.0054;3.1468
18;SOLE VUL;N;0.0054;3.1468
18;SPAR PAG;F;0.0187;2.9645
18;SPAR PAG;I;0.0187;2.9645
18;SPAR PAG;M;0.0187;2.9645
18;SPAR PAG;N;0.0187;2.9645
18;SPIC FLE;F;0.0114;2.9301
18;SPIC FLE;I;0.0084;3.0728
18;SPIC FLE;M;0.0082;3.0972
18;SPIC FLE;N;0.0084;3.0728
18;SPIC SMA;F;0.0125;2.7910
18;SPIC SMA;I;0.0093;2.9105
18;SPIC SMA;M;0.0058;3.1002
18;SPIC SMA;N;0.0093;2.9105
18;SQUA ACA;F;0.0011;3.3024
18;SQUA ACA;I;0.0011;3.3024
18;SQUA ACA;M;0.0011;3.3024
18;SQUA ACA;N;0.0011;3.3024
18;SQUA BLA;F;0.0029;3.1111
18;SQUA BLA;I;0.0029;3.1111
18;SQUA BLA;M;0.0029;3.1111
18;SQUA BLA;N;0.0029;3.1111
18;SQUI MAN;F;0.0029;2.8347
18;SQUI MAN;I;0.0026;2.8610
18;SQUI MAN;M;0.0023;2.8965
18;SQUI MAN;N;0.0026;2.8610
18;TODA SAG;F;0.0185;3.1299
18;TODA SAG;I;0.0186;3.1296
18;TODA SAG;M;0.0183;3.1347
18;TODA SAG;N;0.0186;3.1296
18;TODI EBL;F;0.2018;2.5731
18;TODI EBL;I;0.2211;2.5505
18;TODI EBL;M;0.1402;2.7655
18;TODI EBL;N;0.2211;2.5505
18;TORP MAR;F;0.0280;2.9000
18;TORP MAR;I;0.0280;2.9000
18;TORP MAR;M;0.0280;2.9000
18;TORP MAR;N;0.0280;2.9000
18;TRAC MED;F;0.0086;2.9705
18;TRAC MED;I;0.0095;2.9338
18;TRAC MED;M;0.0089;2.9493
18;TRAC MED;N;0.0095;2.9338
18;TRAC TRA;F;0.0085;3.0279
18;TRAC TRA;I;0.0092;3.0040
18;TRAC TRA;M;0.0091;3.0080
18;TRAC TRA;N;0.0092;3.0040
18;TRIG LUC;F;0.0085;3.0279
18;TRIG LUC;I;0.0092;3.0040
18;TRIG LUC;M;0.0091;3.0080
18;TRIG LUC;N;0.0092;3.0040
18;TRIP LAS;F;0.0153;2.8575
18;TRIP LAS;I;0.0153;2.8575
18;TRIP LAS;M;0.0153;2.8575
18;TRIP LAS;N;0.0153;2.8575
18;TRIS CAP;F;0.0057;3.2103
18;TRIS CAP;I;0.0053;3.2436
18;TRIS CAP;M;0.0043;3.3317
18;TRIS CAP;N;0.0075;3.0806
18;ZEUS FAB;F;0.0146;2.9440
18;ZEUS FAB;I;0.0146;2.9440
18;ZEUS FAB;M;0.0146;2.9440
18;ZEUS FAB;N;0.0146;2.9440
