N.;MeditsCode;Scientific Name                                                 valid;Authorship ;Source;Reference;Remarks;CATFAU;CODLON;GSAs;Year
937;OPTOSPP;Opisthoteuthis spp.;Verrill, 1883;;;;C;;1;2014 (1)
938;OSCALOB;Oscarella lobularis;(Schmidt, 1862) ;;;;Esp;;1, 2, 5, 6;2013 (1, 2, 5, 6)
939;OSMNPEL;Osmundea pelagosae;Nam, 1994 ;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
940;OSMUVOL;Osmundaria volubilis;Norris, 1991;;;;V;;5, 6, 11, 18;2011 (18)
941;OSTEDAE;Ostreidae;Rafinesque, 1815;;;;Emb;;1, 2, 5, 6;2013 (1, 2, 5, 6)
942;OSTREDU;Ostrea edulis;Linnaeus, 1758;F;OSTR Ostr 1;;Dmb;0;1, 5, 6, 7, 9, 10, 17, 18, 19;
943;OSTRSPP;Ostrea;Linnaeus, 1758;R;p. 326;;Dmb;0;1, 6, 9, 10, 18;
944;OWENDAE;Oweniidae;Rioja, 1917;;;;Epo;;5;2013 (5)
945;OXYNCEN;Oxynotus centrina;(Linnaeus, 1758);C;15.01.01;;Ae;0;1, 5, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 25;
946;PACHMON;Pachastrella monilifera ;Schmidt, 1868;;;;Esp;;18;2013 (18)
947;PAGEACA;Pagellus acarne;(Risso, 1827);C;139.07.02;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
948;PAGEBOG;Pagellus bogaraveo;(Brünnich, 1768);C;139.07.03;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
949;PAGEERY;Pagellus erythrinus;(Linnaeus, 1758);C;139.07.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
950;PAGGDAE;Paguridae;Latreille, 1802;;;;B;;1, 5, 9, 25;2013 (1, 5)
951;PAGIERE;Paguristes eremita;(Linnaeus, 1767);;;;B;m;1, 5, 6;
952;PAGOECH;Pagodula echinata ;(Kiener, 1840);;;;Emg;;16;2013 (16)
953;PAGRCOE;Pagrus caeruleostictus;(Valenciennes, 1830);;;;Ao;0;16;2014 (16)
954;PAGUALA;Pagurus alatus;(Fabricius, 1775);Z;247;;B;m;1, 2, 5, 6, 7, 9, 10, 18, 19;
955;PAGUANA;Pagurus anachoretus;Risso, 1827 ;;;;B;;1, 6, 9;2013 (1, 6)
956;PAGUCUA;Pagurus cuanensis;Bell, 1846;Z;247;;B;m;1, 6, 7, 9, 10, 18;
957;PAGUEXC;Pagurus excavatus;(Herbst, 1791);Z;247;;B;m;1, 2, 5, 6, 7, 8, 9, 10, 18;
958;PAGUFOR;Pagurus forbesii;Bell, 1846;Z;246 (sin.);;B;m;1, 5, 6, 18;
959;PAGUPRI;Pagurus prideaux;Leach, 1815;Z;250;;B;m;1, 2, 5, 6, 7, 8, 9, 11, 18, 19;
960;PAGUPUB;Pagurus pubescentulus;(A. Milne-Edwards & Bouvier, 1892);;;;B;;1, 2, 5, 6;2013 (1, 2, 5, 6)
961;PAGUSPP;Pagurus spp.;Fabricius, 1775;Z;243;;B;m;5, 6, 9, 10, 15, 18, 19;2011 (9, 10, 19)
962;PALASER;Palaemon serratus;(Pennant, 1777);;;;B;;25;2014 (25)
963;PALIELE;Palinurus elephas;(Fabricius, 1787);F;PALIN Palin 1;;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 22, 23;
964;PALIMAU;Palinurus mauritanicus;Gruvel, 1911;F;PALIN Palin 3;;B;m;1, 2, 5, 6, 7, 8, 9, 11, 22;
965;PALISPP;Palinurus spp.;Weber, 1795;F;PALIN;;B;m;5;
966;PALLINC;Palliolum incomparabile;(Risso, 1826) ;;;;Emb;;5, 16;2013 (5)
967;PALLSPP;Palliolum spp.;Monterosato, 1884;;;;Emb;;5;2013 (5)
968;PALLTIG;Palliolum tigerinum;(O.F. Müller, 1776);;;?;Emb;;5;2014 (5)
969;PALMCRA;Palmophyllum crassum;Rabenhorst, 1868;;;;V;;5;2013 (5)
970;PALNDAE;Palinuridae;Latreille, 1802;;;;B;;2;2013 (2)
971;PALUCAR;Palicus caronii;(Roux, 1828);;;;B;;1, 2, 5, 6, 20, 22;2013 (1, 2, 5, 6)
972;PANDBRE;Pandalina brevirostris;(Rathke, 1843) ;;;;B;;5;2013 (5)
973;PANDPRO;Pandalina profunda;Holthuis, 1946;F;PANDL;;B;m;1, 5, 6, 20, 22;
974;PAPANAR;Plesionika narval;(Fabricius, 1787);F;PANDL Parapnd;b20;B;m;1, 2, 5, 6, 7, 9, 11, 17, 19, 22;
975;PAPELON;Parapenaeus longirostris;(Lucas, 1846);F;PEN Parap 1;;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 23, 25;
976;PAPOOCT;Parapristipoma octolineatum;(Valenciennes, 1833);C;136.03.02;?;Ao;0;15;
977;PARALEP;Eutelichthys leptochirus;Tortonese, 1959;C;192.03.03;a41;Ao;0;1, 5, 6;
978;PARAMUR;Paraliparis murieli;Matallanas, 1984;C;;?;Ao;0;5, 6;2013 (5, 6)
979;PARCLIV;Paracentrotus lividus;(Lamarck, 1816);F;ECHIN Para 1;;Dec;0;1, 9, 10, 11;2011 (9, 10)
980;PARDCRA;Paradrepanophorus crassus;(Quatrefages, 1846);;;;Ene;;1, 2, 5, 6;2013 (1, 2, 5, 6)
981;PAREMON;Paractaea monodi;Guinot, 1969;;;;B;;25;2014 (25)
982;PARHDAE;Parthenopidae;MacLeay, 1838;Z;437;b21;B;m;9, 10, 15, 17, 19;2011 (10, 19)
983;PARLCOR;Paralepis coregonoides;Risso, 1820;C;63.1;a42;Ao;0;1, 2, 5, 6, 7, 8, 9, 16, 19, 20;
984;PARLSPE;Paralepis coregonoides;Risso, 1820;C;63.1;a42;Ao;0;1, 2, 5, 6, 7, 8, 9, 16, 19, 20;
985;PARMCLA;Paramuricea clavata;(Risso, 1826);;;;Ecn;;1, 6, 16;2013 (1, 6)
986;PAROCUV;Paromola cuvieri;(Risso, 1816);F;HOM Par 1;;B;m;5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 25;
987;PARSFER;Parasquilla ferussaci;(Roux, 1828);;;;Bst;m;10;2011 (10)
988;PARTANG;Derilambrus angulifrons;(Latreille, 1825);Z;439;b22;B;m;6, 11, 15, 19;
989;PARTEXP;Parthenope expansa;(Miers, 1879) ;;;b23;B;;1, 2, 5, 6;2013 (1, 2, 5, 6)
990;PARTMAC;Spinolambrus macrochelos;(Herbst, 1790);Z;439;b24;B;m;2, 5, 6, 9, 10, 11, 15, 18, 19, 20, 22;
991;PARTMAS;Parthenopoides massena;(Roux, 1830);Z;441;b25;B;m;1, 2, 5, 6, 9, 15, 20, 22;
992;PARTSPP;Parthenopidae;MacLeay, 1838;Z;437;b21;B;m;9, 10, 15, 17, 19;2011 (10, 19)
993;PARUHYN;Paracucumaria hyndmani;(Wyville Thomson, 1840);;;;Eec;;1, 2, 5, 6;2013 (1, 2, 5, 6)
994;PARZAXI;Parazoanthus axinellae;(Schmidt, 1862);;;;Ecn;;1, 2, 5, 6;2013 (1, 2, 5, 6)
995;PASIMUL;Pasiphaea multidentata;Esmark, 1866;F;PASI Pasi 1;;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 22, 25;
996;PASISIV;Pasiphaea sivado;(Risso, 1816);F;PASI Pasi 2;;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 25;
997;PASISPP;Pasiphaea spp.;Savigny, 1816;Z;70;;B;m;7, 8, 10, 17, 19, 22;2011 (10, 19)
998;PAYRINT;Euspira intricata;(Donovan, 1804);;;e21;Emg;;16;2013 (16)
999;PECNDAE;Pectinidae;Rafinesque, 1815;;;;Emb;;1;2013 (1)
1000;PECTJAC;Pecten jacobaeus;(Linnaeus, 1758);F;PECT Pect 1;;Dmb;0;1, 5, 6, 7, 8, 9, 17, 19;
1001;PECTMAX;Pecten maximus;(Linnaeus, 1758);F;PECT;?;Dmb;0;1, 5, 6;
1002;PECTSPP;Pecten spp.;O.F. Müller, 1776;F;PECT;;Dmb;0;5, 10, 18;
1003;PELANOC;Pelagia noctiluca;(Forsskål, 1775);R;p. 155 Tav. 57;;Ecn;0; 5, 6, 7, 9, 10, 11, 18;2011 (10, 18)
1004;PELSPLA;Peltaster placenta;(Müller & Troschel, 1842);;;;Eec;0;5, 9, 10, 15, 18, 19;2011 (10, 18, 19)
1005;PELTATR;Peltodoris atromaculata;Bergh, 1880;R;p. 305 Tav. 117;e22;Emo;0;1, 5, 6, 11;
1006;PELTSTE;Discodoris stellifera;(Vayssière, 1904);;;e23;Emo;;18;2013 (18)
1007;PENAJAP;Penaeus japonicus;Bate, 1888;;;AL;B;m;25;2014 (25)
1008;PENAKER;Penaeus kerathurus;(Forsskål, 1775);F;PEN Pen 1;b26;B;m;6, 9, 11, 17, 18, 19, 20, 22;
1009;PENDDAE;Pennatulidae;Ehrenberg, 1834;;;;Ecn;;1, 15;2013 (1)
1010;PENNACU;Pennatula aculeata;Danielssen, 1860 ;;;?;Ecn;;2;2013 (2)
1011;PENNPHO;Pennatula phosphorea;Linnaeus, 1758;R;p. 175 Tav. 64;;Ecn;0;1, 2, 5, 7, 9, 10, 11, 17, 18, 19;
1012;PENNRUB;Pennatula rubra;(Ellis, 1761);R;p. 174 Tav. 64;;Ecn;0;1, 2, 5, 6, 7, 8, 9, 10, 15, 18, 19;2011 (10, 18, 19)
1013;PENNSPP;Pennatula spp.;Linnaeus, 1758;;;;Ecn;;7, 9;2013 (7)
1014;PENOSER;Penaeopsis serrata;Bate, 1881;;;;B;;2;2013 (2)
1015;PENTFAS;Pentapora fascialis fascialis;(Pallas, 1766);;;;Ebr;;1, 2, 5, 6;2013 (1, 2, 5, 6)
1016;PENTFOL;Pentapora foliacea;(Ellis & Solander, 1786);;;;Ebr;;5;2014 (5)
1017;PERCGRA;Periclimenes granulatus;Holthuis, 1950;Z;182;;B;m;1, 6;
1018;PERICAT;Peristedion cataphractum;(Linnaeus, 1758);C;186.01.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
1019;PERPPER;Periphylla periphylla;(Péron & Lesueur, 1810);;;;Ecn;;1, 2, 5, 6;2013 (1, 2, 5, 6)
1020;PETOMAR ;Petromyzon marinus ;Linnaeus, 1758;;;;Aa;;17;2014 (17)
1021;PETRFIC;Petrosia ficiformis;(Poiret, 1789);R;p. 119 Tav. 40;;Esp;0;19;2011 (19)
1022;PEYSINA;Peyssonnelia inamoena;Pilger, 1911 ;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
1023;PEYSROS;Peyssonnelia rosa-marina;Boudouresque & Denizot, 1973;;;;V;;5;2013 (5)
1024;PEYSRUB;Peyssonnelia rubra;J. Agardh, 1851;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
1025;PEYSSPP;Peyssonnelia spp.;Decaisne, 1841;;;;V;;5;2013 (5)
1026;PEYSSQU;Peyssonnelia squamaria;Decaisne, 1842 ;;;;V;;5, 6;2013 (5, 6)
1027;PEYSSTO;Peyssonnelia stoechas;Boudouresque & Denizot, 1975;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
1028;PHACSTR;Phascolion strombus;(Montagu, 1804);;;;Esi;;16, 19;2013 (16)
1029;PHAEEAE;Phaeophyceae;Kjellman, 1891;;;;V;;1;2013 (1)
1030;PHALGRA;Semicassis granulata;(Born, 1778);F;CASS Phal 1;d33;Dmg;0;1, 5, 18;
1031;PHASMAM;Phallusia mammillata;(Cuvier, 1815);R;p. 591 Tav. 236;;Etu;0;1, 5, 6, 7, 8, 9, 10, 11, 17, 18, 19;2011 (9, 18, 19)
1032;PHILECH;Philocheras echinulatus;(M. Sars, 1862);F;CRANG;;B;m;1, 2, 5, 6, 8, 9, 17, 19, 22;
1033;PHILSCU;Philocheras sculptus;(Bell, 1847);;;;B;;1, 6;2013 (1, 6)
1034;PHINAPE;Philine aperta;(Linnaeus, 1767);R;p. 275 Tav. 106;e24;Emo;0;1, 5, 9, 10, 18, 19;2011 (10, 18, 19)
1035;PHIPDEP;Philinopsis depicta;(Renier, 1807);;;;Emo;0;10;2011 (10)
1036;PHRNSEM;Phrosina semilunata;Risso, 1882 ;;;;Bam;;1, 6;2013 (1, 6)
1037;PHROSED;Phronima sedentaria;(Forsskål, 1775);R;p. 492 Tav. 195;;Bam;;1, 5, 6, 17, 19, 25;2011 (19)
1038;PHROSPP;Phronima spp.;Latreille, 1802;;;;Bam;m;7;2013 (7)
1039;PHRYREG;Zeugopterus regius;(Bonnaterre, 1788);C;195.03.01;a43;Ao;0;5, 11, 17, 22;
1040;PHYIBLE;Phycis blennoides;(Brünnich, 1768);C;101.15.02;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
1041;PHYIPHY;Phycis phycis;(Linnaeus, 1766);C;101.15.01;;Ao;0;1, 5, 6, 7, 8, 9, 11, 15, 16, 17, 18, 19, 20, 22, 23;
1042;PHYLTRU;Hexaplex trunculus;(Linnaeus, 1758);R;p. 259 Tav. 100;d27;Dmg;0;1, 6, 8, 9, 10, 17, 18;
1043;PHYMCAL;Phymatolithon calcareum;Adey & McKibbin, 1970;;;;V;;5;2013 (5)
1044;PHYOURN;Phyllophorus urna;Grube, 1840;R;p. 551 Tav. 218;;Eec;0;6, 9, 18;2011 (9)
1045;PHYPCRI;Phyllophora crispa;Dixon, 1964;;;;V;;5;2013 (5)
1046;PHYPHER;Phyllophora herediae;J. Agardh, 1842 ;;;;V;;5;2013 (5)
1047;PHYSDAL;Physiculus dalwigki;Kaup, 1858;C;103.08.01;;Ao;0;7, 8, 9, 11, 22;
